"filename", "language", "Kotlin", "comment", "blank", "total"
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\MainActivity.kt", "Kotlin", -4, 0, 0, -4
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\DeleteRequestDto.kt", "Kotlin", -6, 0, -3, -9
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\DeleteUserDto.kt", "Kotlin", 6, 0, 3, 9
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UpdateAvatarRequestDto.kt", "Kotlin", -12, 0, -4, -16
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UpdateUserAvatarDto.kt", "Kotlin", 12, 0, 4, 16
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UserDto.kt", "Kotlin", 10, 0, 3, 13
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UserResponseDto.kt", "Kotlin", -8, 0, -3, -11
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\entities\UserEntity.kt", "Kotlin", -1, 0, 0, -1
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\mapper\UserMapper.kt", "Kotlin", 17, 0, 2, 19
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\network\AuthInterceptor.kt", "Kotlin", 0, 0, -3, -3
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\AuthRepositoryImpl.kt", "Kotlin", -50, -1, -9, -60
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\CloudinaryRepositoryImpl.kt", "Kotlin", -65, 0, -13, -78
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\LanguageRepositoryImpl.kt", "Kotlin", -27, 0, -7, -34
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\RegisterRepositoryImpl.kt", "Kotlin", -44, 0, -5, -49
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\SecureTokenPreferenceImpl.kt", "Kotlin", -13, 0, -4, -17
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\TokenRepositoryImpl.kt", "Kotlin", -19, 0, -6, -25
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\UserRepositoryImpl.kt", "Kotlin", -130, 0, -14, -144
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\combined\UserRepositoryCombinedImpl.kt", "Kotlin", 81, 0, 12, 93
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\local\UserLocalRepositoryImpl.kt", "Kotlin", 26, 0, 6, 32
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\AuthRepositoryImpl.kt", "Kotlin", 41, 1, 7, 49
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\CloudinaryRepositoryImpl.kt", "Kotlin", 65, 0, 13, 78
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\LanguageRepositoryImpl.kt", "Kotlin", 27, 0, 7, 34
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\RegisterRepositoryImpl.kt", "Kotlin", 33, 0, 5, 38
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\SecureTokenPreferenceImpl.kt", "Kotlin", 14, 0, 4, 18
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\ThemeRepositoryImpl.kt", "Kotlin", 16, 0, 4, 20
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\TokenRepositoryImpl.kt", "Kotlin", 19, 0, 5, 24
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\remote\UserRepositoryImpl.kt", "Kotlin", 52, 0, 12, 64
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\DatabaseModule.kt", "Kotlin", 0, 0, 1, 1
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\RepositoryModule.kt", "Kotlin", 5, 0, 1, 6
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\SecureTokenStorageModule.kt", "Kotlin", -24, 0, -5, -29
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\StorageModule.kt", "Kotlin", 24, 0, 5, 29
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\manager\UserManager.kt", "Kotlin", 12, 0, 4, 16
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\User.kt", "Kotlin", 2, 0, 0, 2
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\RegisterRepository.kt", "Kotlin", -2, 0, -1, -3
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\ThemeRepository.kt", "Kotlin", 5, 0, 1, 6
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\GetCurrentLanguageUseCase.kt", "Kotlin", 10, 0, 2, 12
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\CheckTokenUseCase.kt", "Kotlin", 9, 0, 3, 12
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\ConfirmRegistrationCodeUseCase.kt", "Kotlin", 10, 0, 3, 13
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\LoginUseCase.kt", "Kotlin", 1, 0, -6, -5
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\LogoutUserUseCase.kt", "Kotlin", 15, 0, 3, 18
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\RefreshTokenUseCase.kt", "Kotlin", -3, 0, 0, -3
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\auth\RegisterUserUseCase.kt", "Kotlin", 15, 0, 3, 18
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\theme\GetThemeUseCase.kt", "Kotlin", 8, 0, 2, 10
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\theme\SetThemeUseCase.kt", "Kotlin", 10, 0, 2, 12
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\ConfirmDeleteUserUseCase.kt", "Kotlin", -20, 0, -3, -23
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\ConfirmRegistrationCodeUseCase.kt", "Kotlin", -24, 0, -3, -27
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\DeleteUserAvatarUseCase.kt", "Kotlin", -10, 0, -3, -13
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\LoadUserUseCase.kt", "Kotlin", -11, 0, -3, -14
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\LogoutUserUseCase.kt", "Kotlin", -13, 0, -3, -16
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\RegisterUserUseCase.kt", "Kotlin", -15, 0, -3, -18
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\RequestDeleteUserCodeUseCase.kt", "Kotlin", -10, 0, -3, -13
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\RequestUpdateUserCodeUseCase.kt", "Kotlin", -10, 0, -3, -13
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\UpdateUserAvatarUseCase.kt", "Kotlin", -14, 0, -3, -17
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\UpdateUserUseCase.kt", "Kotlin", -20, 0, -5, -25
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\UploadUserAvatarUseCase.kt", "Kotlin", -16, 0, -2, -18
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\delete\ConfirmDeleteUserUseCase.kt", "Kotlin", 17, 0, 3, 20
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\delete\DeleteUserAccountUseCase.kt", "Kotlin", 14, 0, 3, 17
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\delete\DeleteUserAvatarUseCase.kt", "Kotlin", 13, 0, 3, 16
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\user\delete\RequestDeleteUserCodeUseCase.kt", "Kotlin", 10, 0, 3, 13
